2019年（第91届）,拉米·马雷克,布莱德利·库珀 克里斯蒂安·贝尔 维果·莫腾森 威廉·达福
2018年（第90届）,加里·奥德曼,提莫西·查拉梅 丹尼尔·卡卢亚 丹尼尔·戴-刘易斯 丹泽尔·华盛顿
2017年（第89届）,卡西·阿弗莱克,安德鲁·加菲尔德 瑞恩·高斯林 丹泽尔·华盛顿 维果·莫腾森
2016年（第88届）,莱昂纳多·迪卡普里奥,埃迪·雷德梅恩 马特·达蒙 迈克尔·法斯宾德 布莱恩·科兰斯顿
2015年（第87届）,埃迪·雷德梅恩,迈克尔·基顿 布莱德利·库珀 史蒂夫·卡瑞尔 本尼迪克特·康伯巴奇
2014年（第86届）,马修·麦康纳,切瓦特·埃加福特 莱昂纳多·迪卡普里奥 克里斯蒂安·贝尔 布鲁斯·邓恩
2013年（第85届）,丹尼尔·戴-刘易斯,杰昆·菲尼克斯 丹泽尔·华盛顿 休·杰克曼 布莱德利·库珀
2012年（第84届）,让·杜雅尔丹,德米安·比齐尔 乔治·克鲁尼 布拉德·皮特 加里·奥德曼
2011年（第83届）,科林·费斯,杰夫·布里吉斯 詹姆斯·弗兰科 哈维尔·巴登 杰西·艾森伯格
2010年（第82届）,杰夫·布里吉斯,杰瑞米·雷纳 乔治·克鲁尼 科林·费斯 摩根·弗里曼
2009年（第81届）,西恩·潘,布拉德·皮特 弗兰克·兰格拉 理查·詹金斯 米基·洛克
2008年（第80届）,丹尼尔·戴-刘易斯,维果·莫特森 汤米·李·琼斯 乔治·克鲁尼 约翰尼·德普
2007年（第79届）,福里斯特·惠特克,莱昂纳多·迪卡普里奥 瑞恩·高斯林 威尔·史密斯 彼德·奥图
2006年（第78届）,菲利普·塞默·霍夫曼,希斯·莱杰 大卫·斯特雷泽恩 泰伦斯·霍华德 杰昆·菲尼克斯
2005年（第77届）,杰米·福克斯,莱昂纳多·迪卡普里奥 约翰尼·德普 唐·钱德尔 克林特·伊斯特伍德
2004年（第76届）,西恩·潘,裘德·洛 本·金斯利 比尔·默瑞 约翰尼·德普
2003年（第75届）,阿德里安·布洛迪,杰克·尼科尔森 尼古拉斯·凯奇 丹尼尔·戴-刘易斯 迈克尔·凯恩
2002年（第74届）,丹泽尔·华盛顿,威尔·史密斯 罗素·克劳 西恩·潘 汤姆·威尔金森
2001年（第73届）,罗素·克劳,哈维尔·巴登 汤姆·汉克斯 艾德·哈里斯 杰弗里·拉什
2000年（第72届）,凯文·史派西,罗素·克劳 理查德·法恩斯沃斯 西恩·潘 丹泽尔·华盛顿
1999年（第71届）,罗伯托·贝尼尼,汤姆·汉克斯 伊恩·麦克莱恩 尼克·诺特 爱德华·诺顿
1998年（第70届）,杰克·尼科尔森,马特·达蒙 罗伯特·杜瓦尔 彼得·方达 达斯汀·霍夫曼
1997年（第69届）,杰弗里·拉什,汤姆·克鲁斯 拉尔夫·费因斯 伍迪·哈里森 比利·鲍伯·松顿
1996年（第68届）,尼古拉斯·凯奇,理查德·德莱福斯 安东尼·霍普金斯 西恩·潘 马西莫·特罗西
1995年（第67届）,汤姆·汉克斯,摩根·弗里曼 奈杰尔·霍桑 保罗·纽曼 约翰·特拉沃尔塔
1994年（第66届）,汤姆·汉克斯,丹尼尔·戴-刘易斯 劳伦斯·菲什伯恩 安东尼·霍普金斯 连姆·尼森
1993年（第65届）,阿尔·帕西诺,小罗伯特·唐尼 克林特·伊斯特伍德 斯蒂芬·瑞 丹泽尔·华盛顿
1992年（第64届）,安东尼·霍普金斯,沃伦·比蒂 罗伯特·德尼罗 尼克·诺特 罗宾·威廉姆斯
1991年（第63届）,杰瑞米·艾恩斯,凯文·科斯特纳 罗伯特·德尼罗 杰拉尔·德帕迪约 理查德·哈里斯
1990年（第62届）,丹尼尔·戴-刘易斯,肯尼思·布拉纳 汤姆·克鲁斯 摩根·弗里曼 罗宾·威廉姆斯
1989年（第61届）,达斯汀·霍夫曼,吉恩·哈克曼 汤姆·汉克斯 爱德华·詹姆斯·奥莫斯 马克斯·冯·西多
1988年（第60届）,迈克尔·道格拉斯,威廉·赫特 马塞洛·马斯楚安尼 杰克·尼科尔森 罗宾·威廉姆斯
1987年（第59届）,保罗·纽曼,Dexter 鲍勃·霍斯金斯 威廉·赫特 詹姆斯·伍兹
1986年（第58届）,威廉·赫特,哈里森·福特 詹姆斯·加纳 杰克·尼科尔森 强·沃特
1985年（第57届）,F·莫里·亚伯拉罕,杰夫·布里吉斯 阿尔伯特·芬尼 汤姆·休斯克 萨姆·沃特森
1984年（第56届）,罗伯特·杜瓦尔,迈克尔·凯恩 汤姆·康蒂 汤姆·康特奈 阿尔伯特·芬尼
1983年（第55届）,本·金斯利,达斯汀·霍夫曼 杰克·莱蒙 保罗·纽曼 彼德·奥图
