date,price,volume
2013-04-29,144.54,0.00
2013-04-30,139.00,0.00
2013-05-01,116.99,0.00
2013-05-02,105.21,0.00
2013-05-03,97.75,0.00
2013-05-04,112.50,0.00
2013-05-05,115.91,0.00
2013-05-06,112.30,0.00
2013-05-07,111.50,0.00
2013-05-08,113.57,0.00
2013-05-09,112.67,0.00
2013-05-10,117.20,0.00
2013-05-11,115.24,0.00
2013-05-12,115.00,0.00
2013-05-13,117.98,0.00
2013-05-14,111.50,0.00
2013-05-15,114.22,0.00
2013-05-16,118.76,0.00
2013-05-17,123.01,0.00
2013-05-18,123.50,0.00
2013-05-19,121.99,0.00
2013-05-20,122.00,0.00
2013-05-21,122.88,0.00
2013-05-22,123.89,0.00
2013-05-23,126.70,0.00
2013-05-24,133.20,0.00
2013-05-25,131.98,0.00
2013-05-26,133.48,0.00
2013-05-27,129.74,0.00
2013-05-28,129.00,0.00
2013-05-29,132.30,0.00
2013-05-30,128.80,0.00
2013-05-31,129.00,0.00
2013-06-01,129.30,0.00
2013-06-02,122.29,0.00
2013-06-03,122.22,0.00
2013-06-04,121.42,0.00
2013-06-05,121.65,0.00
2013-06-06,118.00,0.00
2013-06-07,111.50,0.00
2013-06-08,108.30,0.00
2013-06-09,100.00,0.00
2013-06-10,106.35,0.00
2013-06-11,108.90,0.00
2013-06-12,108.15,0.00
2013-06-13,104.00,0.00
2013-06-14,99.98,0.00
2013-06-15,99.99,0.00
2013-06-16,99.51,0.00
2013-06-17,101.70,0.00
2013-06-18,107.40,0.00
2013-06-19,108.25,0.00
2013-06-20,110.15,0.00
2013-06-21,109.50,0.00
2013-06-22,108.30,0.00
2013-06-23,107.60,0.00
2013-06-24,102.74,0.00
2013-06-25,103.95,0.00
2013-06-26,104.00,0.00
2013-06-27,101.44,0.00
2013-06-28,94.65,0.00
2013-06-29,94.99,0.00
2013-06-30,96.61,0.00
2013-07-01,88.05,0.00
2013-07-02,90.13,0.00
2013-07-03,77.53,0.00
2013-07-04,80.53,0.00
2013-07-05,68.43,0.00
2013-07-06,70.28,0.00
2013-07-07,74.56,0.00
2013-07-08,76.52,0.00
2013-07-09,76.69,0.00
2013-07-10,86.76,0.00
2013-07-11,88.98,0.00
2013-07-12,93.59,0.00
2013-07-13,98.13,0.00
2013-07-14,94.69,0.00
2013-07-15,98.40,0.00
2013-07-16,97.45,0.00
2013-07-17,98.50,0.00
2013-07-18,90.58,0.00
2013-07-19,92.17,0.00
2013-07-20,89.39,0.00
2013-07-21,90.76,0.00
2013-07-22,91.61,0.00
2013-07-23,95.56,0.00
2013-07-24,94.51,0.00
2013-07-25,96.90,0.00
2013-07-26,96.02,0.00
2013-07-27,94.12,0.00
2013-07-28,99.76,0.00
2013-07-29,101.20,0.00
2013-07-30,107.99,0.00
2013-07-31,106.09,0.00
2013-08-01,104.00,0.00
2013-08-02,104.50,0.00
2013-08-03,104.00,0.00
2013-08-04,105.14,0.00
2013-08-05,106.22,0.00
2013-08-06,106.75,0.00
2013-08-07,106.75,0.00
2013-08-08,103.00,0.00
2013-08-09,102.80,0.00
2013-08-10,103.00,0.00
2013-08-11,105.00,0.00
2013-08-12,106.64,0.00
2013-08-13,109.00,0.00
2013-08-14,112.56,0.00
2013-08-15,109.99,0.00
2013-08-16,108.99,0.00
2013-08-17,113.50,0.00
2013-08-18,113.50,0.00
2013-08-19,119.00,0.00
2013-08-20,121.21,0.00
2013-08-21,123.30,0.00
2013-08-22,121.15,0.00
2013-08-23,118.50,0.00
2013-08-24,120.04,0.00
2013-08-25,122.11,0.00
2013-08-26,120.06,0.00
2013-08-27,126.50,0.00
2013-08-28,122.62,0.00
2013-08-29,122.39,0.00
2013-08-30,133.49,0.00
2013-08-31,135.35,0.00
2013-09-01,138.34,0.00
2013-09-02,135.85,0.00
2013-09-03,136.77,0.00
2013-09-04,126.74,0.00
2013-09-05,126.43,0.00
2013-09-06,119.15,0.00
2013-09-07,124.15,0.00
2013-09-08,121.66,0.00
2013-09-09,127.11,0.00
2013-09-10,125.91,0.00
2013-09-11,135.25,0.00
2013-09-12,133.13,0.00
2013-09-13,134.98,0.00
2013-09-14,129.22,0.00
2013-09-15,130.37,0.00
2013-09-16,131.72,0.00
2013-09-17,131.66,0.00
2013-09-18,131.47,0.00
2013-09-19,129.65,0.00
2013-09-20,127.04,0.00
2013-09-21,127.43,0.00
2013-09-22,129.12,0.00
2013-09-23,125.95,0.00
2013-09-24,127.25,0.00
2013-09-25,128.22,0.00
2013-09-26,128.38,0.00
2013-09-27,133.78,0.00
2013-09-28,134.78,0.00
2013-09-29,137.34,0.00
2013-09-30,133.00,0.00
2013-10-01,132.18,0.00
2013-10-02,114.13,0.00
2013-10-03,123.63,0.00
2013-10-04,129.01,0.00
2013-10-05,128.55,0.00
2013-10-06,129.00,0.00
2013-10-07,126.94,0.00
2013-10-08,126.00,0.00
2013-10-09,130.69,0.00
2013-10-10,130.59,0.00
2013-10-11,130.90,0.00
2013-10-12,135.19,0.00
2013-10-13,138.13,0.00
2013-10-14,140.52,0.00
2013-10-15,145.24,0.00
2013-10-16,142.55,0.00
2013-10-17,146.25,0.00
2013-10-18,155.96,0.00
2013-10-19,172.42,0.00
2013-10-20,174.61,0.00
2013-10-21,182.21,0.00
2013-10-22,193.76,0.00
2013-10-23,213.62,0.00
2013-10-24,198.23,0.00
2013-10-25,186.69,0.00
2013-10-26,177.32,0.00
2013-10-27,196.44,0.00
2013-10-28,198.55,0.00
2013-10-29,204.39,0.00
2013-10-30,199.97,0.00
2013-10-31,204.00,0.00
2013-11-01,206.18,0.00
2013-11-02,206.22,0.00
2013-11-03,215.05,0.00
2013-11-04,229.10,0.00
2013-11-05,245.24,0.00
2013-11-06,262.50,0.00
2013-11-07,296.41,0.00
2013-11-08,338.11,0.00
2013-11-09,339.11,0.00
2013-11-10,326.62,0.00
2013-11-11,342.44,0.00
2013-11-12,360.33,0.00
2013-11-13,407.37,0.00
2013-11-14,420.20,0.00
2013-11-15,417.95,0.00
2013-11-16,440.22,0.00
2013-11-17,492.11,0.00
2013-11-18,703.56,0.00
2013-11-19,584.61,0.00
2013-11-20,590.83,0.00
2013-11-21,722.43,0.00
2013-11-22,771.44,0.00
2013-11-23,797.82,0.00
2013-11-24,774.25,0.00
2013-11-25,799.11,0.00
2013-11-26,928.10,0.00
2013-11-27,1001.96,0.00
2013-11-28,1031.95,0.00
2013-11-29,1131.97,0.00
2013-11-30,1129.43,0.00
2013-12-01,955.85,0.00
2013-12-02,1043.33,0.00
2013-12-03,1078.28,0.00
2013-12-04,1151.17,0.00
2013-12-05,1045.11,0.00
2013-12-06,829.45,0.00
2013-12-07,698.23,0.00
2013-12-08,795.87,0.00
2013-12-09,893.19,0.00
2013-12-10,988.51,0.00
2013-12-11,878.48,0.00
2013-12-12,873.26,0.00
2013-12-13,892.58,0.00
2013-12-14,872.60,0.00
2013-12-15,876.12,0.00
2013-12-16,705.97,0.00
2013-12-17,682.12,0.00
2013-12-18,522.70,0.00
2013-12-19,691.96,0.00
2013-12-20,625.32,0.00
2013-12-21,605.66,0.00
2013-12-22,617.18,0.00
2013-12-23,673.41,0.00
2013-12-24,665.58,0.00
2013-12-25,682.21,0.00
2013-12-26,761.98,0.00
2013-12-27,735.07,46862700.00
2013-12-28,727.83,32505800.00
2013-12-29,745.05,19011300.00
2013-12-30,756.13,20707700.00
2013-12-31,754.01,20897300.00
2014-01-01,771.40,22489400.00
2014-01-02,802.39,38489500.00
2014-01-03,818.72,37810100.00
2014-01-04,859.51,38005000.00
2014-01-05,933.53,72898496.00
2014-01-06,953.29,85565696.00
2014-01-07,802.00,81311696.00
2014-01-08,842.72,74175600.00
2014-01-09,846.86,59998600.00
2014-01-10,868.48,31876800.00
2014-01-11,913.95,44754200.00
2014-01-12,863.22,39623500.00
2014-01-13,841.20,45580900.00
2014-01-14,833.27,20829800.00
2014-01-15,860.90,28107200.00
2014-01-16,835.63,19149300.00
2014-01-17,814.64,39031700.00
2014-01-18,840.00,18052700.00
2014-01-19,870.96,24365700.00
2014-01-20,870.20,27652700.00
2014-01-21,863.91,18997300.00
2014-01-22,845.59,18453700.00
2014-01-23,822.04,15607100.00
2014-01-24,797.07,34912000.00
2014-01-25,853.61,24303900.00
2014-01-26,885.28,32224300.00
2014-01-27,771.39,49233600.00
2014-01-28,812.51,44875500.00
2014-01-29,826.00,17984400.00
2014-01-30,819.03,29918200.00
2014-01-31,829.92,17107900.00
2014-02-01,832.58,19668700.00
2014-02-02,825.37,11300900.00
2014-02-03,823.83,13940100.00
2014-02-04,827.96,16609700.00
2014-02-05,811.91,22395100.00
2014-02-06,781.55,50108700.00
2014-02-07,712.40,113643000.00
2014-02-08,673.92,38742600.00
2014-02-09,682.90,39311400.00
2014-02-10,681.03,112758000.00
2014-02-11,672.17,72745200.00
2014-02-12,651.72,25367600.00
2014-02-13,605.24,38588100.00
2014-02-14,661.99,102506000.00
2014-02-15,650.92,26709200.00
2014-02-16,616.63,40061700.00
2014-02-17,626.27,31948400.00
2014-02-18,626.60,20015100.00
2014-02-19,623.03,13897800.00
2014-02-20,556.14,46905000.00
2014-02-21,574.16,47308100.00
2014-02-22,605.42,31254000.00
2014-02-23,605.82,31434400.00
2014-02-24,546.32,57893900.00
2014-02-25,538.71,126314000.00
2014-02-26,582.69,64642700.00
2014-02-27,578.77,25540800.00
2014-02-28,549.26,28076100.00
2014-03-01,565.61,18668100.00
2014-03-02,559.79,7950760.00
2014-03-03,667.76,96056896.00
2014-03-04,666.78,55344600.00
2014-03-05,665.51,22461900.00
2014-03-06,663.86,16068100.00
2014-03-07,629.15,34150800.00
2014-03-08,617.45,18654200.00
2014-03-09,636.96,15396500.00
2014-03-10,627.79,20639800.00
2014-03-11,634.11,11732500.00
2014-03-12,632.10,18621200.00
2014-03-13,638.14,11634900.00
2014-03-14,628.80,11913800.00
2014-03-15,636.12,4342080.00
2014-03-16,631.11,5277290.00
2014-03-17,622.37,14648200.00
2014-03-18,614.83,24011500.00
2014-03-19,609.89,14228900.00
2014-03-20,588.77,20572900.00
2014-03-21,571.49,38414100.00
2014-03-22,565.04,17360700.00
2014-03-23,561.27,9288400.00
2014-03-24,583.41,22706900.00
