,date,pce,pop,psavert,uempmed,unemploy
0,1967-07-01,507.4,198712,12.5,4.5,2944
1,1967-08-01,510.5,198911,12.5,4.7,2945
2,1967-09-01,516.3,199113,11.7,4.6,2958
3,1967-10-01,512.9,199311,12.5,4.9,3143
4,1967-11-01,518.1,199498,12.5,4.7,3066
5,1967-12-01,525.8,199657,12.1,4.8,3018
6,1968-01-01,531.5,199808,11.7,5.1,2878
7,1968-02-01,534.2,199920,12.2,4.5,3001
8,1968-03-01,544.9,200056,11.6,4.1,2877
9,1968-04-01,544.6,200208,12.2,4.6,2709
10,1968-05-01,550.4,200361,12.0,4.4,2740
11,1968-06-01,556.8,200536,11.6,4.4,2938
12,1968-07-01,563.8,200706,10.6,4.5,2883
13,1968-08-01,567.6,200898,10.4,4.2,2768
14,1968-09-01,568.8,201095,10.4,4.6,2686
15,1968-10-01,572.3,201290,10.6,4.8,2689
16,1968-11-01,577.4,201466,10.4,4.4,2715
17,1968-12-01,577.2,201621,10.9,4.4,2685
18,1969-01-01,584.2,201760,10.0,4.4,2718
19,1969-02-01,589.5,201881,9.4,4.9,2692
20,1969-03-01,589.7,202023,9.9,4.0,2712
21,1969-04-01,594.7,202161,9.5,4.0,2758
22,1969-05-01,601.1,202331,10.0,4.2,2713
23,1969-06-01,601.7,202507,10.9,4.4,2816
24,1969-07-01,603.5,202677,11.7,4.4,2868
25,1969-08-01,610.8,202877,11.5,4.4,2856
26,1969-09-01,614.1,203090,11.5,4.7,3040
27,1969-10-01,619.4,203302,11.3,4.5,3049
28,1969-11-01,621.4,203500,11.5,4.8,2856
29,1969-12-01,623.7,203675,11.7,4.6,2884
30,1970-01-01,629.6,203849,11.7,4.6,3201
31,1970-02-01,634.9,204008,11.6,4.5,3453
32,1970-03-01,633.2,204156,12.3,4.6,3635
33,1970-04-01,637.0,204401,13.3,4.1,3797
34,1970-05-01,643.4,204607,12.3,4.7,3919
35,1970-06-01,647.2,204830,11.7,4.9,4071
36,1970-07-01,649.5,205052,13.2,5.1,4175
37,1970-08-01,653.9,205295,13.1,5.4,4256
38,1970-09-01,660.1,205540,12.9,5.2,4456
39,1970-10-01,659.3,205788,13.0,5.2,4591
40,1970-11-01,657.6,206024,13.3,5.6,4898
41,1970-12-01,666.6,206238,12.9,5.9,5076
42,1971-01-01,677.2,206466,13.1,6.2,4986
43,1971-02-01,680.4,206668,13.1,6.3,4903
44,1971-03-01,683.0,206855,13.3,6.4,4987
45,1971-04-01,689.8,207065,13.0,6.5,4959
46,1971-05-01,692.2,207260,13.4,6.7,4996
47,1971-06-01,700.8,207462,14.4,5.7,4949
48,1971-07-01,699.9,207661,13.6,6.2,5035
49,1971-08-01,706.0,207881,13.6,6.4,5134
50,1971-09-01,714.1,208114,12.9,5.8,5042
51,1971-10-01,716.9,208345,13.0,6.5,4954
52,1971-11-01,722.1,208555,12.8,6.4,5161
53,1971-12-01,729.6,208740,12.9,6.2,5154
54,1972-01-01,732.6,208917,12.4,6.2,5019
55,1972-02-01,737.3,209061,12.6,6.6,4928
56,1972-03-01,750.4,209212,11.5,6.6,5038
57,1972-04-01,753.8,209386,11.3,6.7,4959
58,1972-05-01,759.2,209545,11.5,6.6,4922
59,1972-06-01,762.9,209725,11.4,5.4,4923
60,1972-07-01,771.2,209896,11.4,6.1,4913
61,1972-08-01,777.7,210075,11.8,6.0,4939
62,1972-09-01,782.5,210278,12.0,5.6,4849
63,1972-10-01,796.3,210479,12.7,5.7,4875
64,1972-11-01,801.8,210656,13.4,5.7,4602
65,1972-12-01,807.5,210821,13.4,6.1,4543
66,1973-01-01,817.9,210985,12.1,5.7,4326
67,1973-02-01,827.2,211120,12.2,5.2,4452
68,1973-03-01,834.2,211254,12.4,5.5,4394
69,1973-04-01,837.2,211420,12.8,5.0,4459
70,1973-05-01,843.1,211577,12.8,4.9,4329
71,1973-06-01,845.8,211746,13.2,5.0,4363
72,1973-07-01,855.7,211909,12.8,5.2,4305
73,1973-08-01,854.9,212092,13.6,4.9,4305
74,1973-09-01,870.9,212289,12.8,5.4,4350
75,1973-10-01,869.8,212475,14.0,5.5,4144
76,1973-11-01,878.6,212634,14.0,5.1,4396
77,1973-12-01,878.4,212785,14.4,4.7,4489
78,1974-01-01,886.4,212932,14.0,5.0,4644
79,1974-02-01,891.6,213074,13.8,5.1,4731
80,1974-03-01,903.3,213211,13.0,4.8,4634
81,1974-04-01,912.7,213361,12.7,5.0,4618
82,1974-05-01,924.3,213513,12.3,4.6,4705
83,1974-06-01,929.9,213686,12.5,5.3,4927
84,1974-07-01,939.8,213854,12.7,5.7,5063
85,1974-08-01,956.6,214042,11.6,5.0,5022
86,1974-09-01,956.8,214246,12.3,5.3,5437
87,1974-10-01,961.0,214451,13.0,5.5,5523
88,1974-11-01,958.0,214625,13.4,5.2,6140
89,1974-12-01,963.6,214782,13.6,5.7,6636
90,1975-01-01,977.4,214931,12.8,6.3,7501
91,1975-02-01,991.3,215065,12.1,7.1,7520
92,1975-03-01,992.6,215198,12.3,7.2,7978
93,1975-04-01,997.2,215353,13.9,8.7,8210
94,1975-05-01,1021.2,215523,17.0,9.4,8433
95,1975-06-01,1029.1,215768,13.9,8.8,8220
96,1975-07-01,1042.2,215973,12.3,8.6,8127
97,1975-08-01,1049.4,216195,12.6,9.2,7928
98,1975-09-01,1057.2,216393,12.6,9.2,7923
99,1975-10-01,1063.2,216587,13.0,8.6,7897
