day,冯晖(魏广军),宁文彤(白副主任),岳旸(赵觉民),苗苗(栾冰然),赵达(吕夫蒙),郭京飞(余欢水),高叶(梁安妮),高露(甘虹)
2020-04-06,0,656,1264,6762,2108,0,2487,7637
2020-04-07,0,903,3697,27329,4448,13516,19027,19197
2020-04-08,0,989,4007,32163,4671,21594,27216,30841
2020-04-09,1531,967,2724,37488,4212,25134,26137,37852
2020-04-10,1214,834,1930,31813,3568,22356,19406,32697
2020-04-11,1213,913,2078,30488,3365,21333,18788,32855
2020-04-12,1141,781,1823,27049,3121,17567,18426,27062
2020-04-13,1137,994,2004,29379,2700,137560,21844,28311
2020-04-14,1459,1119,2951,69883,2962,142095,54012,41588
2020-04-15,2586,1100,4949,61154,4499,125931,50971,32197
2020-04-16,2650,1076,4958,45913,4309,71935,38638,28144
2020-04-17,2408,1043,4345,39030,3994,58016,30819,24655
2020-04-18,2467,1054,4418,34586,4171,17072,29155,24502
2020-04-19,2335,1015,4263,31346,4099,111203,27816,22425
2020-04-20,2048,1023,3651,28225,3755,114064,25681,19383
2020-04-21,2344,1029,4189,34947,3615,127753,29617,19778
